TeamNumber,Match,AutoAmps,AutoSpeaker,AutoLeave,AutoMiddle,TeleopAmps,TeleopSpeaker,Chain,Harmony,Trap,Park,Mobility
7413,61,0,0,False,False,0,2,False,False,False,False,False
670,61,0,0,False,False,7,7,False,False,False,False,False
604,62,0,0,True,False,0,0,False,False,False,False,True
253,62,0,0,False,False,1,0,False,True,False,False,False
1868,62,0,1,True,False,0,4,False,False,False,False,True
8048,62,0,1,True,False,0,6,False,True,False,False,True
3256,62,0,1,True,True,0,2,False,False,False,False,True
6884,62,0,0,False,False,0,0,False,False,False,False,False
841,63,0,1,True,False,0,6,False,False,False,False,True
2073,63,0,1,False,False,0,8,False,False,False,False,False
192,63,0,0,False,False,2,0,False,False,False,False,False
2813,63,0,0,False,False,4,2,False,False,False,False,False
5026,63,0,1,False,False,0,2,False,False,False,False,False
2035,63,0,1,False,False,0,0,False,False,False,False,False
6238,64,0,0,False,False,1,0,False,False,False,False,False
8404,64,0,3,True,False,1,6,False,False,False,False,True
5027,64,0,0,False,False,0,0,False,False,False,False,False
972,64,0,0,True,True,2,3,False,False,False,False,True
5104,64,0,0,True,False,0,3,False,False,False,False,True
4990,64,0,0,False,False,1,0,False,False,False,False,False
9114,65,0,0,False,False,1,5,False,False,False,False,False
7413,65,0,0,False,False,0,1,False,False,False,False,False
3859,65,0,1,False,False,0,5,False,False,False,False,False
2288,65,0,2,True,True,4,2,False,False,False,False,True
604,65,0,0,True,False,0,0,False,False,False,False,True
668,65,0,1,False,False,0,3,False,False,False,False,False
9470,66,0,2,True,False,0,2,False,False,False,False,True
841,66,0,2,True,False,0,7,False,False,False,False,True
1351,66,0,0,False,False,5,0,False,False,False,False,False
1868,66,0,0,True,False,0,1,False,False,False,False,True
987,66,0,4,True,True,0,5,False,False,False,False,True
8048,66,0,1,True,False,0,4,False,False,False,False,True
